Date,Open,High,Low,Close,Adj Close,Volume
5/9/96,22.200001,24.4,22.200001,23.200001,23.200001,4290000
5/10/96,24,24.200001,23.6,24,24,1060000
5/13/96,24,24.1,23.299999,23.9,23.9,700000
5/14/96,24,24.1,23.1,23.6,23.6,310000
5/15/96,23.6,23.700001,23,23.200001,23.200001,545000
5/16/96,23.1,23.1,22.299999,22.6,22.6,360000
5/17/96,22.6,23,22.6,22.799999,22.799999,325000
5/20/96,22.9,23,22.4,22.5,22.5,240000
5/21/96,22.700001,22.799999,22.299999,22.6,22.6,235000
5/22/96,22.700001,22.700001,21.799999,22,22,250000
5/23/96,22,22.200001,21.700001,22.1,22.1,205000
5/24/96,22.1,22.1,21.4,21.6,21.6,155000
5/28/96,21.9,22.1,21.200001,21.200001,21.200001,205000
5/29/96,21,21.299999,20.700001,20.799999,20.799999,105000
5/30/96,20.700001,20.799999,20,20.5,20.5,320000
5/31/96,20.200001,20.4,19.799999,20.4,20.4,230000
6/3/96,20.4,20.5,20,20.1,20.1,80000
6/4/96,20.1,21.4,20.1,21.4,21.4,115000
6/5/96,21.4,22,21.299999,21.860001,21.860001,165000
6/6/96,21.860001,22,21.700001,21.700001,21.700001,90000
6/7/96,21.5,21.799999,21.200001,21.6,21.6,85000
6/10/96,21.700001,21.9,21.1,21.200001,21.200001,80000
6/11/96,21.200001,21.700001,21.200001,21.4,21.4,65000
6/12/96,21.6,22,21.4,22,22,110000
6/13/96,22,22.200001,21.9,22.059999,22.059999,65000
6/14/96,22.200001,22.200001,21.700001,22,22,40000
6/17/96,22,22.059999,21.700001,21.82,21.82,40000
6/18/96,21.860001,21.860001,21.5,21.66,21.66,45000
6/19/96,21.6,21.700001,21.24,21.299999,21.299999,40000
6/20/96,21.4,21.459999,20.5,20.700001,20.700001,55000
6/21/96,20.5,20.700001,20.48,20.700001,20.700001,70000
6/24/96,20.66,20.799999,20.5,20.6,20.6,75000
6/25/96,20.6,20.700001,20.1,20.4,20.4,120000
6/26/96,20.52,20.6,20.299999,20.4,20.4,60000
6/27/96,20.299999,20.360001,20.059999,20.200001,20.200001,85000
6/28/96,20.1,20.66,20.1,20.66,20.66,105000
7/1/96,20.66,21.5,20.6,21.5,21.5,135000
7/2/96,21.66,21.799999,21.459999,21.700001,21.700001,80000
7/3/96,21.76,21.76,21.1,21.299999,21.299999,40000
7/5/96,21,21.1,20.6,20.700001,20.700001,80000
7/8/96,20.799999,21.5,20.6,20.959999,20.959999,80000
7/9/96,21,21.4,20.66,21.200001,21.200001,170000
7/10/96,21.299999,21.360001,20.700001,20.98,20.98,70000
7/11/96,21.059999,21.059999,20.6,20.799999,20.799999,120000
7/12/96,20.6,21.059999,20.6,20.84,20.84,90000
7/15/96,20.799999,20.9,20.440001,20.66,20.66,105000
7/16/96,20.5,21.1,20.1,20.700001,20.700001,145000
7/17/96,20.860001,21.299999,20.639999,21.1,21.1,130000
7/18/96,21,21.299999,21,21.200001,21.200001,50000
7/19/96,21.200001,21.360001,21,21.1,21.1,60000
7/22/96,21,21.1,20.84,20.84,20.84,55000
7/23/96,20.84,21.200001,20.4,20.4,20.4,55000
7/24/96,20.1,20.5,20.1,20.5,20.5,70000
7/25/96,20.6,20.719999,20.4,20.5,20.5,70000
7/26/96,20.4,20.6,20.4,20.4,20.4,30000
7/29/96,20.4,20.66,20.4,20.5,20.5,35000
7/30/96,20.4,20.9,20.4,20.540001,20.540001,55000
7/31/96,20.540001,20.540001,20.4,20.52,20.52,25000
8/1/96,20.5,20.66,20.440001,20.540001,20.540001,25000
8/2/96,20.68,20.959999,20.66,20.959999,20.959999,65000
8/5/96,20.959999,21.120001,20.799999,20.799999,20.799999,60000
8/6/96,20.799999,20.860001,20.5,20.799999,20.799999,45000
8/7/96,20.860001,20.879999,20.66,20.84,20.84,60000
8/8/96,20.84,20.879999,20.700001,20.879999,20.879999,50000
8/9/96,20.719999,20.860001,20.700001,20.799999,20.799999,45000
8/12/96,20.799999,20.860001,20.700001,20.860001,20.860001,25000
8/13/96,20.76,20.799999,20.639999,20.719999,20.719999,50000
8/14/96,20.68,21.6,20.68,21.6,21.6,85000
8/15/96,21.700001,22.200001,21.6,22.200001,22.200001,150000
8/16/96,22.200001,22.34,21.76,21.860001,21.860001,90000
8/19/96,22,22,21.6,21.68,21.68,50000
8/20/96,21.6,21.799999,21.360001,21.4,21.4,55000
8/21/96,21.42,21.42,21.200001,21.200001,21.200001,30000
8/22/96,21.299999,21.48,21.299999,21.299999,21.299999,45000
8/23/96,21.34,21.34,21.24,21.34,21.34,30000
8/26/96,21.34,21.34,21.08,21.139999,21.139999,25000
8/27/96,21.26,21.34,21.120001,21.200001,21.200001,30000
8/28/96,21.200001,21.200001,20.9,20.98,20.98,40000
8/29/96,21.02,21.02,20.700001,20.700001,20.700001,60000
8/30/96,20.76,20.879999,20.68,20.82,20.82,35000
9/3/96,20.9,20.98,20.719999,20.959999,20.959999,15000
9/4/96,20.959999,21.08,20.879999,21,21,25000
9/5/96,21.059999,21.059999,20.780001,20.9,20.9,45000
9/6/96,20.9,21.120001,20.860001,21.040001,21.040001,30000
9/9/96,21.1,21.48,21,21.360001,21.360001,70000
9/10/96,21.459999,21.459999,21.1,21.200001,21.200001,55000
9/11/96,21.24,21.379999,21.08,21.32,21.32,40000
9/12/96,21.379999,21.440001,21.299999,21.440001,21.440001,40000
9/13/96,21.440001,21.639999,21.360001,21.459999,21.459999,55000
9/16/96,21.5,21.84,21.459999,21.84,21.84,70000
9/17/96,21.92,21.92,21.4,21.66,21.66,145000
9/18/96,21.76,21.799999,21.559999,21.559999,21.559999,105000
9/19/96,21.459999,21.799999,21.440001,21.66,21.66,65000
9/20/96,21.76,21.799999,21.66,21.74,21.74,40000
9/23/96,21.66,21.66,21.440001,21.52,21.52,30000
9/24/96,21.459999,21.639999,21.280001,21.559999,21.559999,65000
9/25/96,21.48,21.6,21.4,21.48,21.48,50000
9/26/96,21.58,21.620001,21.4,21.48,21.48,45000
9/27/96,21.48,21.48,21.24,21.360001,21.360001,55000
9/30/96,21.280001,21.6,21.280001,21.459999,21.459999,55000
10/1/96,21.459999,21.459999,21.16,21.24,21.24,70000
10/2/96,21.200001,21.440001,21.200001,21.42,21.42,75000
10/3/96,21.459999,21.459999,21.34,21.4,21.4,40000
10/4/96,21.360001,21.459999,21.32,21.4,21.4,70000
10/7/96,21.440001,21.440001,21.299999,21.299999,21.299999,95000
10/8/96,21.24,21.34,21.16,21.16,21.16,50000
10/9/96,21.16,21.280001,21.1,21.280001,21.280001,130000
10/10/96,21.32,21.32,21.16,21.219999,21.219999,35000
10/11/96,21.200001,21.4,21.16,21.16,21.16,60000
10/14/96,21.200001,21.4,21.16,21.299999,21.299999,70000
10/15/96,21.200001,21.280001,21.120001,21.200001,21.200001,70000
10/16/96,21.219999,21.459999,21.200001,21.459999,21.459999,95000
10/17/96,21.48,21.719999,21.360001,21.639999,21.639999,90000
10/18/96,21.74,21.799999,21.6,21.68,21.68,60000
10/21/96,21.68,21.68,21.440001,21.52,21.52,25000
10/22/96,21.5,21.76,21.5,21.76,21.76,80000
10/23/96,21.639999,21.639999,21.440001,21.58,21.58,20000
10/24/96,21.6,21.780001,21.6,21.780001,21.780001,25000
10/25/96,21.780001,21.879999,21.719999,21.719999,21.719999,40000
10/28/96,21.74,21.799999,21.559999,21.559999,21.559999,50000
10/29/96,21.459999,21.68,21.459999,21.620001,21.620001,40000
10/30/96,21.639999,21.700001,21.48,21.48,21.48,35000
10/31/96,21.559999,21.639999,21.48,21.58,21.58,25000
11/1/96,21.66,21.799999,21.620001,21.620001,21.620001,85000
